dataset,n,model,loglik,k,KS,AIC,BIC,CAIC,HQIC
aarset_failure_times,50,Exponential,-241.08959526168388,1,0.19107227403187954,484.17919052336777,486.0912135287959,487.0912135287959,484.90729978914464
aarset_failure_times,50,Gamma,-240.19022065076757,2,0.20222956405756648,484.38044130153514,488.20448731239145,490.20448731239145,485.8366598330889
aarset_failure_times,50,Weibull,-241.00181859570938,2,0.19280024265874635,486.00363719141876,489.82768320227507,491.82768320227507,487.4598557229725
aarset_failure_times,50,Normal,-245.0169867284328,2,0.16282070580456642,494.0339734568656,497.85801946772193,499.85801946772193,495.4901919884194
aarset_failure_times,50,StudentT,-245.0169867520749,3,0.16281763890321152,496.0339735041498,501.77004252043423,504.77004252043423,498.2183013014805
aarset_failure_times,50,NUVM,-245.01698685342333,3,0.16283943555637742,496.03397370684667,501.7700427231311,504.7700427231311,498.21830150417736
aarset_failure_times,50,TVMN,-245.01757272191463,4,0.16323092102884704,498.03514544382926,505.6832374655418,509.6832374655419,500.94758250693684
aarset_failure_times,50,Lognormal,-252.82297421047232,2,0.2213919955938069,509.64594842094465,513.469994431801,515.469994431801,511.1021669524984
aarset_failure_times,50,Laplace,-253.96831395206937,2,0.18282177860168006,511.93662790413873,515.760673914995,517.760673914995,513.3928464356925
