dataset,model,mu,sigma,loc,scale,alpha,a,m,b
diabetes_target_centered,Normal,-7.716301202824617e-15,77.00574586945044,,,,,,
diabetes_target_centered,Laplace,,,-11.63348416289594,65.04298642533936,,,,
diabetes_target_centered,NUVM,0.0006587162668438462,77.00653248845434,,,0.0001,,,
diabetes_target_centered,TVMN,,,,,,5828.537584568925,5894.9201125860955,6060.133876107956
breast_cancer_mean_radius_centered,Normal,-4.995028019403165e-16,3.5209507607110617,,,,,,
breast_cancer_mean_radius_centered,Laplace,,,-0.7572917398945531,2.6657311072056236,,,,
breast_cancer_mean_radius_centered,NUVM,-0.485193566972588,3.5418419062638224,,,0.9439815796245261,,,
breast_cancer_mean_radius_centered,TVMN,,,,,,5.065086242697189,5.163014114289481,26.84954348011885
breast_cancer_mean_area_centered,Normal,-6.713317658077853e-14,351.60475406323,,,,,,
breast_cancer_mean_area_centered,Laplace,,,-103.78910369068547,246.51353251318105,,,,
breast_cancer_mean_area_centered,NUVM,-78.54679309787082,348.0039486237852,,,0.999,,,
breast_cancer_mean_area_centered,TVMN,,,,,,25359.360030597665,25545.89190680105,307915.7357348449
wine_alcohol_centered,Normal,-7.185263620045957e-16,0.8095429145285168,,,,,,
wine_alcohol_centered,Laplace,,,0.04938202247191015,0.6870224719101125,,,,
wine_alcohol_centered,NUVM,-8.54321675021737e-07,0.809542924866616,,,0.0001,,,
wine_alcohol_centered,TVMN,,,,,,0.6450915290708581,0.655429209823242,0.6623433073588615
linnerud_weight_centered,Normal,1.4210854715202005e-15,3.120897306865447,,,,,,
linnerud_weight_centered,Laplace,,,-0.3999999999999986,2.2,,,,
linnerud_weight_centered,NUVM,-0.23656752302570108,3.0302179777853797,,,0.8762968479867745,,,
linnerud_weight_centered,TVMN,,,,,,1.3743058302495925,1.3778686900834367,24.102833449272314
